Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Note Attributes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Outstanding Balance,Employee,Location,Device ID,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment ID,Payment Terms Name,Next Payment Due At,Payment References
#1020,egnition_sample_20250421145354_1@egnition.com,pending,,unfulfilled,,no,INR,0.30,0.00,0.00,0.30,"",0.00,"",2025-04-21 10:28:37 +0530,1,DR MARTENS | CAVENDISH 3-EYE SHOE BLACK - 7 / black,0.10,,DM-02-7-black,true,true,pending,Chase Vazquez,"P.O. Box 298, 3731 Augue Rd.","P.O. Box 298, 3731 Augue Rd.",,,Milwaukee,'8519,,BA,+38733585418,Chase Vazquez,"P.O. Box 298, 3731 Augue Rd.","P.O. Box 298, 3731 Augue Rd.",,,Milwaukee,'8519,,BA,+38733585418,,"",,"","",0.00,DR MARTENS,0.30,,,,6280250327200,egnition-sample-data,Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1020,egnition_sample_20250421145354_1@egnition.com,,,,,,,,,,,,,,2025-04-21 10:28:37 +0530,1,ASICS TIGER | GEL-LYTE V '30 YEARS OF GEL' PACK - 14 / black,0.10,"",AsTi-01-14-black,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,ASICS TIGER,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1020,egnition_sample_20250421145354_1@egnition.com,,,,,,,,,,,,,,2025-04-21 10:28:37 +0530,1,DR MARTENS | 1460Z DMC 8-EYE BOOT | CHERRY SMOOTH - 12 / red,0.10,"",DM-03-12-red,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,DR MARTENS,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1019,egnition_sample_20250421145354_2@egnition.com,refunded,,unfulfilled,,no,INR,0.20,0.00,0.00,0.20,"",0.00,"",2025-04-21 10:28:31 +0530,1,CONVERSE | CHUCK TAYLOR ALL STAR LO - 11 / white,0.10,,C-01-11-white,true,true,pending,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,,"",,"","",0.00,CONVERSE,0.20,,,,6280250097824,egnition-sample-data,Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1019,egnition_sample_20250421145354_2@egnition.com,,,,,,,,,,,,,,2025-04-21 10:28:31 +0530,1,DR MARTENS | 1460Z DMC 8-EYE BOOT | CHERRY SMOOTH - 3 / red,0.10,"",DM-03-3-red,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,DR MARTENS,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1018,egnition_sample_20250421145354_2@egnition.com,refunded,,unfulfilled,,no,INR,0.20,0.00,0.00,0.20,"",0.00,"",2025-04-21 10:28:25 +0530,1,VANS | CLASSIC SLIP-ON (PERFORATED SUEDE) - 9 / beige,0.10,,VN-09-9-beige,true,true,pending,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,,"",,"","",0.00,VANS,0.20,,,,6280249966752,egnition-sample-data,Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1018,egnition_sample_20250421145354_2@egnition.com,,,,,,,,,,,,,,2025-04-21 10:28:25 +0530,1,TIMBERLAND | MENS 6 INCH PREMIUM BOOT - 9 / yellow,0.10,"",TM-01-9-yellow,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,TIMBERLAND,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1017,egnition_sample_20250421145354_1@egnition.com,refunded,,unfulfilled,,no,INR,0.10,0.00,0.00,0.10,"",0.00,"",2025-04-21 10:28:20 +0530,1,VANS | AUTHENTIC (BUTTERFLY) TRUE | WHITE / BLACK - 9 / white,0.10,,VN-03-9-white,true,true,pending,Chase Vazquez,"P.O. Box 298, 3731 Augue Rd.","P.O. Box 298, 3731 Augue Rd.",,,Milwaukee,'8519,,BA,+38733585418,Chase Vazquez,"P.O. Box 298, 3731 Augue Rd.","P.O. Box 298, 3731 Augue Rd.",,,Milwaukee,'8519,,BA,+38733585418,,"",,"","",0.00,VANS,0.10,,,,6280249802912,egnition-sample-data,Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1016,egnition_sample_20250421145354_1@egnition.com,refunded,,unfulfilled,,no,INR,0.10,0.00,0.00,0.10,"",0.00,"",2025-04-21 10:27:33 +0530,1,VANS APPAREL AND ACCESSORIES | CLASSIC SUPER NO SHOW SOCKS 3 PACK WHITE - 9.5-13 / white,0.10,,VN-10-9.5-13-white,true,true,pending,Chase Vazquez,"P.O. Box 298, 3731 Augue Rd.","P.O. Box 298, 3731 Augue Rd.",,,Milwaukee,'8519,,BA,+38733585418,Chase Vazquez,"P.O. Box 298, 3731 Augue Rd.","P.O. Box 298, 3731 Augue Rd.",,,Milwaukee,'8519,,BA,+38733585418,,"",,"","",0.00,VANS,0.10,,,,6280249278624,egnition-sample-data,Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1015,egnition_sample_20250421145354_2@egnition.com,refunded,,unfulfilled,,no,INR,0.30,0.00,0.00,0.30,"",0.00,"",2025-04-21 10:27:28 +0530,1,DR MARTENS | 1461 DMC 3-EYE SHOE | BLACK SMOOTH - 8 / black,0.10,,DM-01-8-black,true,true,pending,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,,"",,"","",0.00,DR MARTENS,0.30,,,,6280249180320,egnition-sample-data,Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
